firm,url,metro,principal_name,first_name,email,recent_project,project_observation,personalization_line,source,sent_at,opened_at,replied_at,outcome,notes,pdf_received_at
Young Projects,https://young-projects.com,NYC,Bryan Young,Bryan,,Galaxy Digital Headquarters,Aggregation-logic surface,"Galaxy Digital is something I keep going back to study — pulling the studio's aggregation logic up to a 35,000 sf interior without losing the unit-level precision is a hard scale jump.",AIANY,,,,,,
Caliper Studio,https://www.caliperstudio.com,NYC,Jonathan Taylor,Jonathan,,BAM Strong Awning,In-house parametric-to-fab pipeline,"the BAM Strong awning has been one of my reference points — the in-house design-to-fabrication pipeline you describe on your site is something I keep wishing more practices would build out.",AIANY,,,,,,
Hou de Sousa,http://www.houdesousa.com,NYC,Nancy Hou,Nancy,,Prismatic,Single parametric module,"Prismatic at Art Omi has stuck with me — the way one module ends up doing color, sightlines, and structure at once is the kind of compression I keep wanting to learn from.",AIANY,,,,,,
SsD,https://www.ssdarchitecture.com,NYC,Jinhee Park,Jinhee,,Songpa Micro-Housing,Eight twist types,"the Songpa screen has stayed with me — eight twist types yielding a continuous privacy gradient is the kind of constraint problem I find quietly elegant, especially inside a micro-housing budget.",AIANY + GSD,,,,,,
Kennedy Violich Architecture,https://www.kvarch.net,Boston,Sheila Kennedy,Sheila,,TREEFORM (Venice 2025),Whole-tree-geometry form-finding,"TREEFORM at Venice has been on my mind — the form-finding work with MIT Digital Structures is something I'd love to ask you about, especially the argument that raw timber outperforms glulam when the geometry is solved for the log.",BSA + MIT,,,,,,
PARA Project,https://www.para-project.org,Boston,Jon Lott,Jon,,Bivouac for Models,Doubled geometry at two scales,"Bivouac for Models has stayed with me — the doubling at two scales is one of those moves that gets funnier and more interesting the longer I look at it.",BSA + GSD,,,,,,
Stoss,https://www.stoss.net,Boston,Chris Reed,Chris,,Moakley Park,Storm-surge tuned section,"Moakley Park has stayed with me — landscape sections that double as flood defense without reading as defensive infrastructure is a category of work I keep coming back to.",BSA + GSD,,,,,,
French 2D,http://www.french2d.com,Boston,Jenny French,Jenny,,Kendall Square Garage Screens,Tuned aperture pattern,"the Kendall Square garage screens have stayed with me — wrapping a parking structure to do real public-realm work at that budget is genuinely hard, and most attempts I see fail the budget test or fail the perception test.",BSA,,,,,,
Schwartz/Silver Architects,https://www.schwartzsilver.com,Boston,Warren Schwartz,Warren,,Holocaust Museum Boston,Woven stainless mesh,"the Holocaust Museum's woven stainless mesh is a project I think about often — the metaphor and the geometry support each other without either feeling overdetermined, which is rare in memorial work.",BSA,,,,,,
"Albert, Righter & Tittmann Architects",https://www.artarchitects.com,Boston,J.B. Clancy,J.B.,,Fireberry (West Berkshires),BRAGB PRISM-winning compound,"the Fireberry house has stayed with me — the way it reads as a contemporary New England compound without leaning on the typology too heavily is harder than it looks.",BSA + residential,,,,,,
Frank Shirley Architects,https://frankshirleyarchitects.com,Boston,Frank Shirley,Frank,,Cambridge addition portfolio,Pre-1900 Cambridge additions,"Frank — congrats on the AIA fellowship. I keep coming back to your Cambridge additions — the restraint of letting pre-1900 envelopes lead the design conversation rather than fight it is a discipline that doesn't get talked about enough.",BSA + residential,,,,,,
Maryann Thompson Architects,https://www.maryannthompson.com,Boston,Maryann Thompson,Maryann,,Foote School Science and Technology Building,Heavy timber + layered envelope,"the Foote School STEM building has stayed with me — heavy timber paired with that layered envelope is the kind of project that reads better in person than in publication, which I think is the right direction.",BSA + residential,,,,,,
Sally Weston Associates,https://www.sallyweston.com,Boston,Sally Weston,Sally,,1818 Old Derby Building (Hingham),Historic-shell addition,"the Old Derby Building work in Hingham has been on my mind — additions inside an 1818 shell that the Historical Commission signs off on is a kind of design rigor that doesn't get talked about enough.",BSA + preservation,,,,,,
Charles R. Myer & Partners,https://www.charlesmyer.com,Boston,Charles R. Myer,Charles,,Cambridge Historical Commission preservation work,Existing-conditions practice,"the Cambridge Historical Commission preservation awards your team keeps winning are exactly the work I most want to see more of — the discipline of operating inside an existing condition is its own design language.",BSA + preservation,,,,,,
Meyer & Meyer Architects,https://meyerandmeyerarchitects.com,Boston,John I. Meyer Jr.,John,,Gothic Revival church + Back Bay residential,Cross-typology practice,"the breadth from Gothic Revival church renovations to Back Bay Georgian residential has stayed with me — most firms specialize narrower, and your range across those typologies feels like a deliberate choice.",BSA + residential,,,,,,
Flavin Architects,https://www.flavinarchitects.com,Boston,Colin Flavin,Colin,,Powder Mill House (Concord),BRAGB PRISM Gold cantilever,"Powder Mill House has stayed with me — the cantilevered bar with the double-wall envelope is the kind of detail that reads as understated until you actually try to draw it. (Also amused we share a first name.)",BSA + residential,,,,,,
David Sharff Architect,https://davidsharffarchitect.com,Boston,David Sharff,David,,Back Bay Ware & Van Brunt townhouse,1872 brick-shell renovation,"the Ware & Van Brunt townhouse renovation in Back Bay has been on my mind — keeping the brick shell while gutting the interior is the kind of constraint that produces some of the more honest detailing I've seen recently.",BSA + residential,,,,,,
Estes Twombly + Titrington Architects,https://ettarchitects.com,Newport,Peter W. Twombly,Peter,,Quahaug Point (Rhode Island),Newport vernacular study,"Quahaug Point has stayed with me — the offset shed-roof volumes feel like a genuine engagement with Newport vernacular rather than a quotation of it, which is harder to do well than people give credit for.",residential,,,,,,
Patrick Ahearn Architect,https://patrickahearn.com,Boston,Patrick Ahearn,Patrick,,Edgartown Village Historic District,225 homes inside one historic district,"the body of work inside the Edgartown Historic District is one of those practice arcs I keep watching — building 225 homes inside a single historic district while keeping each one specific is a design-discipline problem, not just a permitting one.",BSA + residential,,,,,,
Andre Tchelistcheff Architects,http://tchelistcheff.com,NYC,Andre Tchelistcheff,Andre,,Cartier Mansion (5th Avenue),Codman spiral stair restoration,"the Cartier Mansion restoration has stayed with me — preserving the Codman spiral stair while replacing every system around it is the kind of project that lives or dies on coordination, and the result reads cleanly.",AIANY + preservation,,,,,,
Andrew Franz Architect,https://andrewfranz.com,NYC,Andrew Franz,Andrew,,Greenwich Village Pied-à-Terre (Washington Sq),1400sf curved-partition apartment,"the Washington Square pied-à-terre has been on my mind — curved partitions in a 1,400 sf footprint is the kind of small-scale spatial move that requires a lot of iteration to get right.",AIANY + residential,,,,,,
O'Neill Rose Architects,https://www.oneillrosearchitects.com,NYC,Devin O'Neill,Devin,,Hidden Hollow House / Big Sky 7000sf,Yale-trained husband-wife practice,"the Hidden Hollow project has stayed with me — the way the section opens to landscape without becoming a glass box is a hard thing to pull off in custom residential at that scale.",AIANY + residential,,,,,,
Khanna Schultz,https://www.khanna-schultz.com,NYC,Vrinda Khanna,Vrinda,,Carroll Gardens Townhouse,Period-front + modern-rear townhouse,"the Carroll Gardens townhouse has been on my mind — keeping the period front intact while reworking the rear through a single stair move is the kind of strategic restraint I keep wishing more renovations attempted.",AIANY + residential,,,,,,
Etelamaki Architecture,https://www.etelamakiarchitecture.com,NYC,Jeff Etelamaki,Jeff,,Park Slope Row House (Brownstoner Nov 2024),Not-quite-gut brownstone reno,"the Park Slope row house featured in Brownstoner last fall has stayed with me — the not-quite-gut approach to a brownstone reno is a much harder design call than going either direction fully.",AIANY + residential,,,,,,
Murdock Solon Architects,https://murdocksolon.com,NYC,Shea Murdock,Shea,,Clinton Hill Townhouse,Multifamily-to-SFH conversion,"the Clinton Hill townhouse conversion has been on my mind — pulling a multifamily back to a single-family while carving out a garden apartment is a kind of typological negotiation that doesn't always work, and yours did.",AIANY + residential,,,,,,
Studio DB,https://www.studiodb.com,NYC,Britt Zunino,Britt,,Little Monster Films HQ (Flatiron 2024),Film-production loft fit-out,"the Little Monster Films HQ has stayed with me — fitting a film-production company into a Flatiron loft without making it feel staged is harder than it looks, and the millwork is doing a lot of work quietly.",AIANY + commercial,,,,,,
Slade Architecture,https://www.sladearch.com,NYC,Hayes Slade,Hayes,,Aperture Foundation Headquarters,Institutional fit-out,"the Aperture Foundation HQ has been on my mind — institutional fit-outs that read more like residential than corporate is a sensibility I keep watching for.",AIANY + commercial,,,,,,
Tsao & McKown Architects,https://www.tsao-mckown.com,NYC,Calvin Tsao,Calvin,,7 West 57th Street residences,Whole-floor minimalist envelopes,"the residential work at 7 West 57th has stayed with me — minimalist envelopes with that level of joinery detail is the kind of approach that requires real conviction to keep clean.",AIANY + residential,,,,,,
Matiz Architecture & Design,https://www.mad-nyc.com,NYC,Juan Matiz,Juan,,Warburg Mansion Triplex / Reade Street Penthouse,Landmark + loft range,"the Warburg Mansion triplex has stayed with me — landmark townhouse work alongside TriBeCa loft expansion is the kind of practice range that suggests you've built your own internal language for translating between historic constraint and open-plan freedom.",AIANY + residential,,,,,,
